adv_id,value_in_paise,payment_gateway,payment_method,payment_status,created_at,app_id,from_currency_amount,from_currency,to_currency_amount,to_currency,transaction_fee_amount,transaction_fee_currency
,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
2d3ad81b-a068-460a-9f35-60d7df3c2b78,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
3052eb57-f48d-4bb5-9469-bf4e1c71c8a9,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
802684aa-0870-4258-9561-aa84f6aa88d8,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
92edbd60-5179-47ca-bb6d-122a157a27e0,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
c512389d-a713-4642-bd0e-7eb56490fd26,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
f8fc5200-8794-46c5-83dc-382c37bd02ad,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
,3000,RAZORPAY,UPI,PROCESSED,2024-10-19 11:02:01.868262+00:00,sikka,300,sikka,30,INR,130,paise
f921c02a-b432-4b68-8c9c-ef946243b90d,3000,RAZORPAY,UPI,PROCESSED,2024-10-19 11:02:01.868262+00:00,sikka,300,sikka,30,INR,130,paise
20ba8fcb-be34-4aff-b6cb-bf414cbeb683,500,RAZORPAY,UPI,PROCESSED,2024-10-16 03:13:25.559232+00:00,rupiyo,5,rupiyo_token,5,INR,130,paise
d2b0008f-fe32-4ed0-863b-f2e773ddb9a7,3000,RAZORPAY,UPI,PROCESSED,2024-10-17 16:10:25.153826+00:00,in_cash,300,iccoin,30,INR,130,paise
00000000-0000-0000-0000-000000000000,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 09:25:09.056609+00:00,rupiyo,30,rupiyo_token,30,INR,130,paise
c617d8c6-7064-4084-b73c-955b05a84ec3,1000,TREMENDOUS,GIFT_CARD,PROCESSED,2024-10-23 07:49:26.040285+00:00,chillar,100,chillar,10,INR,0,USD
fec27270-2e0a-475d-8667-07aa644c699a,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 13:00:22.534809+00:00,sikka,300,sikka,30,INR,130,paise
e710b8e5-3108-41f5-bf5c-8f0be9606273,5000,RAZORPAY,UPI,PROCESSED,2024-10-23 04:08:41.582477+00:00,sikka,500,sikka,50,INR,130,paise
1fea115e-1731-4bc8-abb5-ce4cc62314a0,3000,RAZORPAY,UPI,PROCESSED,2024-10-23 09:04:25.917150+00:00,money_hi,300,mhcoin,30,INR,130,paise
1fea115e-1731-4bc8-abb5-ce4cc62314a0,3000,RAZORPAY,UPI,PROCESSED,2024-10-22 09:32:50.788720+00:00,sikka,300,sikka,30,INR,130,paise
00000000-0000-0000-0000-000000000000,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 15:42:06.813749+00:00,chillar,300,chillar,30,INR,130,paise
2b807427-815e-49cb-84b1-08b885d7c26b,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 15:42:06.813749+00:00,chillar,300,chillar,30,INR,130,paise
64e73142-ee07-42ac-9d42-94694cf39a9d,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 15:42:06.813749+00:00,chillar,300,chillar,30,INR,130,paise
845e32b4-2357-496a-ae24-2a56ca7d518c,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 15:42:06.813749+00:00,chillar,300,chillar,30,INR,130,paise
ccff8585-76a7-4a98-84b1-9ff02ba34ca8,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 15:42:06.813749+00:00,chillar,300,chillar,30,INR,130,paise
ea524bcd-5e5c-44f1-a54b-507c58c2a25c,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 15:42:06.813749+00:00,chillar,300,chillar,30,INR,130,paise
d36affa3-12df-42f0-af6a-1c1a4c365ac1,500,RAZORPAY,UPI,PROCESSED,2024-10-20 02:15:29.767597+00:00,chillar,50,chillar,5,INR,130,paise
e20509ca-3d2b-4cdf-bd2c-12b18e38d23e,3000,RAZORPAY,UPI,PROCESSED,2024-10-19 10:55:03.982516+00:00,sikka,300,sikka,30,INR,130,paise
86e5e631-5de9-4091-95bc-3e99849798a0,3000,RAZORPAY,UPI,FAILED,2024-10-18 13:34:12.159911+00:00,sikka,300,sikka,30,INR,130,paise
86e5e631-5de9-4091-95bc-3e99849798a0,3000,RAZORPAY,UPI,FAILED,2024-10-18 13:36:37.946273+00:00,sikka,300,sikka,30,INR,130,paise
86e5e631-5de9-4091-95bc-3e99849798a0,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 13:43:26.955792+00:00,sikka,300,sikka,30,INR,130,paise
d4734371-779e-4f51-ae0c-41cf59e74de5,3000,RAZORPAY,UPI,PROCESSED,2024-10-21 06:40:52.191446+00:00,sikka,300,sikka,30,INR,130,paise
d424a0db-d204-4fc9-aa44-7e99fd5a2993,1000,TREMENDOUS,GIFT_CARD,PROCESSED,2024-10-20 05:03:14.771335+00:00,in_cash,100,iccoin,10,INR,0,USD
d424a0db-d204-4fc9-aa44-7e99fd5a2993,5000,RAZORPAY,UPI,PROCESSED,2024-10-19 19:24:37.542592+00:00,in_cash,500,iccoin,50,INR,130,paise
09a48c58-2f3f-4f68-a732-722743fe42d1,3000,RAZORPAY,UPI,PROCESSED,2024-10-19 10:23:47.053112+00:00,sikka,300,sikka,30,INR,130,paise
0b716c96-4fcd-449f-bbeb-80ad7f0fe672,3000,RAZORPAY,UPI,PROCESSED,2024-10-22 09:32:50.788720+00:00,sikka,300,sikka,30,INR,130,paise
0b716c96-4fcd-449f-bbeb-80ad7f0fe672,3000,RAZORPAY,UPI,PROCESSED,2024-10-23 09:04:25.917150+00:00,money_hi,300,mhcoin,30,INR,130,paise
be1ef6b3-de11-4e86-ad95-1f7117599cf1,500,RAZORPAY,UPI,PROCESSED,2024-10-19 23:31:43.524942+00:00,chillar,50,chillar,5,INR,130,paise
c1d05275-1639-458e-8430-63e3f4437827,3000,RAZORPAY,UPI,FAILED,2024-10-20 17:53:54.976065+00:00,sikka,300,sikka,30,INR,130,paise
fefed068-1fd3-4d16-b0e7-cc333184dbdb,5000,RAZORPAY,UPI,PROCESSED,2024-10-17 02:30:00.639214+00:00,rupiyo,50,rupiyo_token,50,INR,130,paise
06de7dcb-9222-4ead-b0b5-c43e43cf8a1a,3000,RAZORPAY,UPI,PROCESSED,2024-10-19 10:23:47.053112+00:00,sikka,300,sikka,30,INR,130,paise
126407dd-fb14-472b-9447-5cbef946fc70,3000,RAZORPAY,UPI,PROCESSED,2024-10-19 10:23:47.053112+00:00,sikka,300,sikka,30,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-16 02:49:06.320002+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-20 04:13:40.276388+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-21 02:42:30.811925+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-18 16:16:02.690710+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-19 03:26:43.837176+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-23 03:31:47.986373+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-17 03:26:21.519954+00:00,sikka,5000,sikka,500,INR,130,paise
552a1e4d-e5a3-4144-926f-2ba12a4253ed,50000,RAZORPAY,UPI,PROCESSED,2024-10-22 03:35:45.971414+00:00,sikka,5000,sikka,500,INR,130,paise
3500c2ae-12dd-451d-a8b8-f1e3b95c3591,500,RAZORPAY,UPI,FAILED,2024-10-19 06:08:40.506383+00:00,sikka,50,sikka,5,INR,130,paise
4e2217d3-11d6-42c5-932f-a367f56da867,500,RAZORPAY,UPI,FAILED,2024-10-19 06:08:40.506383+00:00,sikka,50,sikka,5,INR,130,paise
bd98a599-eead-4048-8b8e-fc6c42d5d2c2,500,RAZORPAY,UPI,FAILED,2024-10-19 06:08:40.506383+00:00,sikka,50,sikka,5,INR,130,paise
d87eb145-7bdf-4a05-9e9e-89141b895669,500,RAZORPAY,UPI,FAILED,2024-10-19 06:08:40.506383+00:00,sikka,50,sikka,5,INR,130,paise
0d257cfb-bbbf-456c-93c6-f5b87e21a4bc,3000,RAZORPAY,UPI,PROCESSED,2024-10-22 13:31:48.635192+00:00,sikka,300,sikka,30,INR,130,paise
394e0570-6329-4881-b79d-cbd609e455a6,5000,RAZORPAY,UPI,PROCESSED,2024-10-17 02:30:00.639214+00:00,rupiyo,50,rupiyo_token,50,INR,130,paise
52e9be00-6d0c-4a8b-89d8-1053275df753,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
75e0c6ce-8573-47b8-bd51-9f94fe51cbe8,3000,RAZORPAY,UPI,PROCESSED,2024-10-18 09:34:14.247708+00:00,sikka,300,sikka,30,INR,130,paise
